Creating connection...
Creating command.
Opening connection...
Creating command.
Executing read
Starting read
## Sales Import ## No Matching Master Found:: Code: 12PTXABLK, Tex: TXA, Thickness: 12, Type: P, Style: BLNK, Width: 49 1/4, Length: 192
## Sales Import ## No Matching Master Found:: Code: 12PTXABLK, Tex: TXA, Thickness: 12, Type: P, Style: BLNK, Width: 49 1/4, Length: 192
## Sales Import ## No Matching Master Found:: Code: 12PTXABLK, Tex: TXA, Thickness: 12, Type: P, Style: BLNK, Width: 49 1/4, Length: 192
## Sales Import ## No Matching Master Found:: Code: 12PTXABLK, Tex: TXA, Thickness: 12, Type: P, Style: BLNK, Width: 49 1/4, Length: 192
## Sales Import ## No Matching Master Found:: Code: 12PTXABLK, Tex: TXA, Thickness: 12, Type: P, Style: BLNK, Width: 49 1/4, Length: 192
## Sales Import ## No Matching Master Found:: Code: 12PTXABLK, Tex: TXA, Thickness: 12, Type: P, Style: BLNK, Width: 49 1/4, Length: 192
## Sales Import ## No Matching Master Found:: Code: 12PTXABLK, Tex: TXA, Thickness: 12, Type: P, Style: BLNK, Width: 49 1/4, Length: 192
## Sales Import ## No Matching Master Found:: Code: 12PTXABLK, Tex: TXA, Thickness: 12, Type: P, Style: BLNK, Width: 49 1/4, Length: 192
## Sales Import ## No Matching Master Found:: Code: 12PTXABLK, Tex: TXA, Thickness: 12, Type: P, Style: BLNK, Width: 49 1/4, Length: 192
## Sales Import ## No Matching Master Found:: Code: 12PTXABLK, Tex: TXA, Thickness: 12, Type: P, Style: BLNK, Width: 49 1/4, Length: 192
## Sales Import ## No Matching Master Found:: Code: 12PTXABLK, Tex: TXA, Thickness: 12, Type: P, Style: BLNK, Width: 49 1/4, Length: 192
## Sales Import ## No Matching Master Found:: Code: 12PTXABLK, Tex: TXA, Thickness: 12, Type: P, Style: BLNK, Width: 49 1/4, Length: 192
## Sales Import ## No Matching Master Found:: Code: 12PTXABLK, Tex: TXA, Thickness: 12, Type: P, Style: BLNK, Width: 49 1/4, Length: 192
## Sales Import ## No Matching Master Found:: Code: 12PTXABLK, Tex: TXA, Thickness: 12, Type: P, Style: BLNK, Width: 49 1/4, Length: 192
## Sales Import ## No Matching Master Found:: Code: 12PTXABLK, Tex: TXA, Thickness: 12, Type: P, Style: BLNK, Width: 49 1/4, Length: 192
