ProductCode,Units,Pieces,Grade,Date
1LOMSG4,4480,0,DEALER,12/20/2012
7POMSE,1890,0,DEALER,12/20/2012
4TOS2,880,0,DEALER,12/20/2012
4TOS4,960,0,DEALER,12/20/2012
4TOS6,480,0,DEALER,12/20/2012
4TOS6,192,0,DEALER,12/20/2012
4TOS8,240,0,DEALER,12/20/2012
7LOM6,672,0,DEALER,12/20/2012
7LOM8,252,0,DEALER,12/20/2012
7LOM12,168,0,DEALER,12/20/2012
7LOM12,336,0,DEALER,12/20/2012
1LOMSLC6,140,0,DEALER,12/20/2012
7POM348,180,0,DEALER,12/20/2012
7POMSE,180,0,DEALER,12/20/2012
1LSHRND,180,0,DEALER,12/20/2012
1LSHCRT,180,0,DEALER,12/20/2012
7LOMSF,378,0,DEALER,12/20/2012
4TOS4,480,0,DEALER,12/20/2012
5TOS4,2808,0,DEALER,12/20/2012
5TOS6,144,0,DEALER,12/20/2012
5TOS8,864,0,DEALER,12/20/2012
5TOS10,450,0,DEALER,12/20/2012
5TOS12,360,0,DEALER,12/20/2012
4TOS4,240,0,DEALER,12/20/2012
5TOS6,144,0,DEALER,12/20/2012
5TOS8,216,0,DEALER,12/20/2012
7LOM12,336,0,DEALER,12/20/2012
5TOS4,1080,0,DEALER,12/20/2012
4TOS2,440,0,DEALER,12/20/2012
4TOS4,240,0,DEALER,12/20/2012
4TOS8,360,0,DEALER,12/20/2012
5TOS6,144,0,DEALER,12/20/2012
5TOS12,72,0,DEALER,12/20/2012
7POMSE,360,0,DEALER,12/20/2012
1LOM5CL,420,0,DEALER,12/20/2012
1LOM5CL,1890,0,DEALER,12/20/2012
7POMSE,450,0,DEALER,12/20/2012
1LOMSF,105,0,DEALER,12/20/2012
4TOS4,1200,0,DEALER,12/20/2012
4TOS8,1200,0,DEALER,12/20/2012
5TOS4,648,0,DEALER,12/20/2012
5TOS8,216,0,DEALER,12/20/2012
5TOS12,72,0,DEALER,12/20/2012
58TOM4DTU,4032,0,DEALER,12/3/2012
1LOM5CL,315,0,DEALER,12/19/2012
1LOMSL8,630,0,DEALER,12/19/2012
5TOS4,216,0,DEALER,12/19/2012
5TOS6,144,0,DEALER,12/19/2012
1LSHCRT,720,0,DEALER,12/19/2012
E7POMSP,225,0,ECON,12/19/2012
1LSH,280,0,DEALER,12/19/2012
1LOM5CL,1050,0,DEALER,12/18/2012
7POMSE,810,0,DEALER,12/18/2012
1LOMSG4,1680,0,DEALER,12/18/2012
4TOS2,1320,0,DEALER,12/18/2012
4TOS4,1440,0,DEALER,12/18/2012
4TOS8,720,0,DEALER,12/18/2012
4TOS12,80,0,DEALER,12/18/2012
5TOS4,432,0,DEALER,12/18/2012
5TOS6,144,0,DEALER,12/18/2012
5TOS8,432,0,DEALER,12/18/2012
1LOM5CL,5040,0,DEALER,12/20/2012
7LOM8,2268,0,DEALER,12/20/2012
7LSH,1008,0,DEALER,12/20/2012
7PSMSE,135,0,DEALER,12/20/2012
4TOS2,880,0,DEALER,12/20/2012
4TOS4,720,0,DEALER,12/20/2012
4TOS8,960,0,DEALER,12/20/2012
4TOS10,200,0,DEALER,12/20/2012
4TOS12,320,0,DEALER,12/20/2012
5TOS4,432,0,DEALER,12/20/2012
4FOM8,480,0,DEALER,12/20/2012
7POMSE,225,0,DEALER,12/20/2012
1LOMSG4,560,0,DEALER,12/20/2012
1LOM126CL,140,0,DEALER,1/7/2013
7POM348,45,0,DEALER,1/7/2013
7LOMSF,252,0,DEALER,1/7/2013
7LSM,168,0,DEALER,1/7/2013
4TOS6,160,0,DEALER,1/7/2013
1LOM124CL,140,0,DEALER,1/7/2013
1LOM126CL,140,0,DEALER,1/7/2013
7PSMSE,45,0,DEALER,1/7/2013
7POM348,135,0,DEALER,1/7/2013
7POMSE,180,0,DEALER,1/7/2013
7LSM,336,0,DEALER,1/7/2013
1LOM5CL,105,0,DEALER,1/7/2013
7POMSP,225,0,DEALER,1/7/2013
4TOS496,192,0,DEALER,1/7/2013
1LOM5CL,630,0,DEALER,1/7/2013
7POMSP,945,0,DEALER,1/7/2013
4TOS496,384,0,DEALER,1/7/2013
1LOMSA8,420,0,DEALER,1/7/2013
7POMSP,1890,0,DEALER,1/7/2013
1LOM5CL12,315,0,DEALER,1/7/2013
4TOS496,576,0,DEALER,1/7/2013
1LOMSA8,420,0,DEALER,1/7/2013
7POMSP,1395,0,DEALER,1/7/2013
1LOM124CL,140,0,DEALER,12/18/2012
7LOM12,336,0,DEALER,12/18/2012
7POM348,630,0,DEALER,12/18/2012
7POM348,40,0,DEALER,12/18/2012
4TOS6,160,0,DEALER,1/4/2013
4TOS8,120,0,DEALER,1/4/2013
5TOS4,648,0,DEALER,1/4/2013
1LSHCRT,360,0,DEALER,1/4/2013
1LOM5CL,945,0,DEALER,1/4/2013
7LOM12,168,0,DEALER,1/8/2013
7LOMSF,504,0,DEALER,1/2/2013
7LSH,1680,0,DEALER,1/2/2013
7POMSE,900,0,DEALER,1/2/2013
4TOS4,2880,0,DEALER,1/2/2013
4TOS6,320,0,DEALER,1/2/2013
4TOS8,360,0,DEALER,1/2/2013
4TOS10,100,0,DEALER,1/2/2013
4TOS12,80,0,DEALER,1/2/2013
5TOS4,432,0,DEALER,1/2/2013
1LOM5CL,315,0,DEALER,1/4/2013
1LOM8CL,210,0,DEALER,1/4/2013
1LSH,280,0,DEALER,1/4/2013
1LOMSA12,140,0,DEALER,1/4/2013
5TOS8,108,0,DEALER,1/4/2013
5TOS4,216,0,DEALER,1/4/2013
7LOM8,252,0,DEALER,1/4/2013
7LOM12,504,0,DEALER,1/4/2013
1LOM126CL,140,0,DEALER,1/4/2013
1LOM124CL,140,0,DEALER,1/4/2013
7LSM,2520,0,DEALER,1/4/2013
7LSM,144,0,DEALER,1/4/2013
4TOS4,480,0,DEALER,1/4/2013
5TOS4,216,0,DEALER,1/4/2013
5TOS6,144,0,DEALER,1/4/2013
7POM348,810,0,DEALER,1/4/2013
7POMRBB8,135,0,DEALER,1/4/2013
7PSMSE,45,0,DEALER,1/4/2013
7POM347,90,0,DEALER,1/4/2013
7POM349,450,0,DEALER,1/4/2013
1LOMSG4,840,0,DEALER,1/4/2013
7LOM8,252,0,DEALER,12/21/2012
7LOM8,234,0,DEALER,12/21/2012
1LOM5CL,420,0,DEALER,12/21/2012
