ProductCode,Invoice Number,Units,Pieces,Grade,Date
1LOMSG4,3026547,4480,0,DEALER,12/20/2012
7POMSE,3026547,1890,0,DEALER,12/20/2012
4TOS2,3026547,880,0,DEALER,12/20/2012
4TOS4,3026547,960,0,DEALER,12/20/2012
4TOS6,3026547,480,0,DEALER,12/20/2012
4TOS6,3026547,192,0,DEALER,12/20/2012
4TOS8,3026547,240,0,DEALER,12/20/2012
7LOM6,3026547,672,0,DEALER,12/20/2012
7LOM8,3026547,252,0,DEALER,12/20/2012
7LOM12,3026547,168,0,DEALER,12/20/2012
7LOM12,3026548,336,0,DEALER,12/20/2012
1LOMSLC6,3026548,140,0,DEALER,12/20/2012
7POM348,3026548,180,0,DEALER,12/20/2012
7POMSE,3026548,180,0,DEALER,12/20/2012
1LSHRND,3026548,180,0,DEALER,12/20/2012
1LSHCRT,3026548,180,0,DEALER,12/20/2012
7LOMSF,3026548,378,0,DEALER,12/20/2012
4TOS4,3026548,480,0,DEALER,12/20/2012
5TOS4,3026548,2808,0,DEALER,12/20/2012
5TOS6,3026548,144,0,DEALER,12/20/2012
5TOS8,3026548,864,0,DEALER,12/20/2012
5TOS10,3026548,450,0,DEALER,12/20/2012
5TOS12,3026548,360,0,DEALER,12/20/2012
4TOS4,3026619,240,0,DEALER,12/20/2012
5TOS6,3026619,144,0,DEALER,12/20/2012
5TOS8,3026619,216,0,DEALER,12/20/2012
7LOM12,3026619,336,0,DEALER,12/20/2012
5TOS4,3026619,1080,0,DEALER,12/20/2012
4TOS2,3026620,440,0,DEALER,12/20/2012
4TOS4,3026620,240,0,DEALER,12/20/2012
4TOS8,3026620,360,0,DEALER,12/20/2012
5TOS6,3026620,144,0,DEALER,12/20/2012
5TOS12,3026620,72,0,DEALER,12/20/2012
7POMSE,3026620,360,0,DEALER,12/20/2012
1LOM5CL,3026620,420,0,DEALER,12/20/2012
1LOM5CL,3026621,1890,0,DEALER,12/20/2012
7POMSE,3026621,450,0,DEALER,12/20/2012
1LOMSF,3026621,105,0,DEALER,12/20/2012
4TOS4,3026621,1200,0,DEALER,12/20/2012
4TOS8,3026621,1200,0,DEALER,12/20/2012
5TOS4,3026621,648,0,DEALER,12/20/2012
5TOS8,3026621,216,0,DEALER,12/20/2012
5TOS12,3026621,72,0,DEALER,12/20/2012
58TOM4DTU,3026671,4032,0,DEALER,12/3/2012
1LOM5CL,3026672,315,0,DEALER,12/19/2012
1LOMSL8,3026672,630,0,DEALER,12/19/2012
5TOS4,3026672,216,0,DEALER,12/19/2012
5TOS6,3026672,144,0,DEALER,12/19/2012
1LSHCRT,3026672,720,0,DEALER,12/19/2012
E7POMSP,3026672,225,0,ECON,12/19/2012
1LSH,3026672,280,0,DEALER,12/19/2012
1LOM5CL,3026673,1050,0,DEALER,12/18/2012
7POMSE,3026673,810,0,DEALER,12/18/2012
1LOMSG4,3026673,1680,0,DEALER,12/18/2012
4TOS2,3026673,1320,0,DEALER,12/18/2012
4TOS4,3026673,1440,0,DEALER,12/18/2012
4TOS8,3026673,720,0,DEALER,12/18/2012
4TOS12,3026673,80,0,DEALER,12/18/2012
5TOS4,3026673,432,0,DEALER,12/18/2012
5TOS6,3026673,144,0,DEALER,12/18/2012
5TOS8,3026673,432,0,DEALER,12/18/2012
